#{"t_start": 1719418389.308234, "env_id": "None"}
r,l,t
5580.131958,132,165.480645
-122.374557,23,197.373681
-72.383331,9,210.242844
-83.365974,10,224.578761
-72.382568,9,237.884338
-66.375893,6,247.284736
-126.382568,26,283.025615
-72.374557,9,296.286626
-72.365784,9,309.83051
-83.365593,10,325.255956
-72.38047,9,338.442411
-95.378944,14,357.72728
-72.38295,9,371.029696
-90.38047,14,391.229218
-72.365974,9,404.626543
-72.379707,9,417.804698
-78.383141,10,432.576292
-75.365593,10,447.628921
-105.383331,19,473.115122
-75.374557,10,488.54686
-72.383141,9,501.490489
-83.377228,10,514.937272
-72.38047,9,527.790792
-83.38047,10,541.148055
-72.379707,9,554.001281
-72.377228,9,566.709253
-72.374557,9,579.852748
-72.382568,9,592.964147
-75.377228,9,605.624978
-137.379707,27,640.434624
-83.374557,10,655.16912
-72.383141,9,667.926429
320.620293,12,684.291199
-72.379707,9,697.236539
-72.38047,9,710.021526
-72.377228,9,722.872526
-81.383141,11,738.1841
-72.531723,9,750.994035
-72.37532,9,763.898387
-72.377228,9,776.951963
-84.694229,12,793.7085
-72.374557,9,807.90909
-90.374557,15,827.853785
-75.382568,10,841.907972
-81.383331,11,857.312589
-69.365593,7,867.729562
-76.096443,13,885.535367
-117.378944,24,917.084677
67.466942,13,936.019788
-72.389435,9,948.99181
-72.37513,9,961.922343
-72.531723,9,974.481725
-119.37513,22,1002.460084
-72.531723,9,1015.078427
-109.0,3,1020.434084
-72.531723,9,1033.035867
-72.691559,9,1045.647793
-72.374557,9,1059.54496
-81.38047,11,1074.799431
-72.377228,9,1087.747476
-81.37532,11,1102.99992
-93.37513,15,1123.018529
-78.377228,10,1136.866227
-113.38047,20,1162.369518
-72.383331,9,1175.219615
-81.531723,11,1190.226501
-72.38047,9,1202.899543
-96.377228,17,1226.670125
-72.531723,9,1239.282389
-72.377228,9,1251.835674
-72.38047,9,1264.292303
-90.377228,15,1284.600928
-117.38047,24,1315.663583
-72.374557,9,1328.62993
-83.531723,10,1341.833319
-72.531723,9,1354.430337
-72.374557,9,1368.431923
-81.38047,11,1383.202935
-84.383331,12,1399.453315
-122.382568,23,1428.676505
-72.377228,9,1441.413303
-72.374557,9,1454.158608
-72.533058,9,1466.968353
-72.38047,9,1479.629172
-81.531723,11,1495.826935
-72.377228,9,1508.686334
-72.377228,9,1521.240448
-83.374557,9,1533.407452
-72.38047,9,1546.117261
-78.531723,10,1560.03149
-123.374557,26,1593.404427
-84.38047,12,1609.848881
-84.531723,13,1628.529644
-75.374557,10,1642.37615
-72.379707,9,1654.935445
-83.377228,10,1668.291075
5700.909996,134,1834.144932
-83.37532,10,1848.640355
-78.38047,10,1862.327244
-84.377228,13,1879.9331
-72.377228,9,1892.54301
-72.38047,9,1905.23303
-108.409271,4,1911.787753
-136.0,12,1927.69351
-145.0,14,1946.367439
-136.0,12,1962.442882
-136.0,12,1979.659208
-123.379707,18,2003.031808
-109.0,3,2008.081964
-136.0,12,2024.182222
-136.0,12,2040.186413
-157.0,16,2060.828671
-136.0,12,2076.846392
-111.83802,16,2097.957811
-145.0,14,2116.511859
-145.0,14,2136.145283
-136.0,12,2151.800752
-136.0,12,2167.843972
-169.0,19,2191.997829
-136.0,12,2207.992504
-136.0,12,2224.000316
-136.0,12,2239.706011
-136.0,12,2256.892401
-139.492073,14,2275.347209
-136.0,12,2291.192551
-154.0,16,2311.943794
-109.0,3,2317.056877
-109.0,3,2322.232764
-109.0,3,2327.338177
-109.0,3,2332.43235
-115.445915,5,2339.992151
-109.0,3,2345.088335
-109.0,3,2350.141067
-72.38047,9,2362.733331
-109.0,3,2367.787676
-109.0,3,2373.020019
-109.0,3,2378.223628
