#{"t_start": 1718225542.3209193, "env_id": "None"}
r,l,t
162.0,41,47.060419
232.0,60,115.106466
-22.0,11,129.675661
-28.0,10,141.709042
-28.0,10,153.679485
-28.0,10,165.592024
-28.0,10,177.590027
-28.0,10,189.612677
-28.0,10,201.670476
-6.0,13,217.021287
-28.0,10,228.85597
-28.0,10,240.871933
16.0,16,259.596771
-28.0,10,273.074086
-14.0,12,287.272792
-46.0,8,297.088275
10.0,15,314.712161
-28.0,10,326.559729
-6.0,13,341.9319
-28.0,10,353.80834
-28.0,10,365.791801
-26.0,12,379.969864
-28.0,10,391.900109
-28.0,10,403.892455
-28.0,10,415.948433
-28.0,10,431.482409
-14.0,12,523.481111
-28.0,10,600.480581
-28.0,10,674.481138
-28.0,10,752.481317
-8.0,13,854.48127
-28.0,10,936.482104
-14.0,12,1033.481162
-28.0,10,1110.48147
-28.0,10,1185.481327
-28.0,10,1262.480266
2.0,14,1361.481294
-28.0,10,1436.480208
-28.0,10,1513.482064
-28.0,10,1598.481353
-70.0,5,1641.481118
32.0,18,1776.480353
-28.0,10,1857.480861
-14.0,12,1951.482331
-28.0,10,2035.481688
-28.0,10,2111.480024
-28.0,10,2188.480512
10.0,15,2302.480763
-28.0,10,2380.481345
-28.0,10,2459.481168
-28.0,10,2535.481436
-28.0,10,2615.480396
-46.0,8,2679.481841
-28.0,10,2758.480195
-28.0,10,2839.481134
-46.0,8,2906.482298
16.0,16,3031.48085
-28.0,10,3108.4811
-28.0,10,3184.480825
-14.0,12,3275.482339
22.0,17,3401.480166
-46.0,8,3466.480202
-14.0,12,3558.48113
-22.0,11,3644.480402
30.0,18,3783.481345
14.0,16,3909.481005
-46.0,8,3972.479957
28.0,18,4112.481413
28.0,18,4249.482349
90.0,26,4450.481164
68.0,23,4623.480191
54.0,21,4790.480874
46.0,20,4945.480299
54.0,21,5104.481593
68.0,23,5281.481428
46.0,20,5435.479961
54.0,21,5593.481204
54.0,21,5752.481148
14.0,16,5875.480242
40.0,30,6094.481196
62.0,22,6264.481284
68.0,23,6440.480937
-226.0,89,7085.482078
0.0,14,7192.480632
0.0,14,7295.481209
28.0,18,7433.481019
-28.0,10,7516.480613
0.0,14,7622.481265
14.0,16,7753.481365
-8.0,13,7857.481279
0.0,14,7963.481141
0.0,14,8074.48005
6.0,15,8190.480334
14.0,16,8310.481384
386.0,69,8804.483417
-8.0,13,8901.481236
-48.0,8,8960.482542
28.0,18,9090.480702
14.0,16,9210.48207
-22.0,11,9288.481406
0.0,14,9388.480922
56.0,22,9555.481555
14.0,16,9676.481855
14.0,16,9788.479869
-70.0,5,9827.482625
14.0,16,9942.482688
426.0,81,10513.481465
-22.0,11,10591.480715
110.0,29,10804.481276
14.0,16,10922.481153
252.0,49,11284.48049
4.0,15,11394.480784
-16.0,12,11481.481146
206.0,42,11774.480728
0.0,14,11874.482825
78.0,25,11975.482238
14.0,16,12089.482871
14.0,16,12205.480958
166.0,40,12489.48179
28.0,18,12609.482716
14.0,16,12726.481646
78.0,25,12914.480795
28.0,18,13044.479824
14.0,16,13155.4823
0.0,14,13256.48055
28.0,18,13387.481225
28.0,18,13516.483311
6.0,15,13626.48085
20.0,17,13745.481801
52.0,21,13889.482905
92.0,27,14089.480611
46.0,21,14241.482469
-8.0,13,14343.480889
42.0,20,14487.481395
42.0,20,14633.482633
336.0,85,15225.483304
126.0,32,15454.481395
-14.0,12,15544.482476
-6.0,13,15642.482738
42.0,20,15793.483287
