#{"t_start": 1718731165.4754105, "env_id": "None"}
r,l,t
114.652161,32,21.551913
-74.149162,31,42.093108
108.667854,31,62.647774
29.151001,31,83.298081
9.08461,30,103.190199
66.084068,30,123.138433
-31.718246,31,145.119798
14.579773,31,165.882861
-26.575897,31,186.691221
-14.285965,31,207.322443
-21.067162,31,228.084437
79.546333,31,248.713712
8.799423,31,269.479913
154.04689,31,290.071713
-130.843491,27,308.250918
-124.0,9,314.795974
-42.591057,14,324.634663
89.198166,13,333.935352
-126.604965,11,343.179853
-124.0,9,349.81966
-124.0,9,356.383693
-124.0,9,362.978372
-124.0,9,369.653812
-124.0,9,376.25713
-26.575623,14,386.199043
-98.809227,9,392.879183
70.595039,12,401.499581
-130.0,10,408.663744
146.441368,11,416.461691
-124.0,9,422.982238
-124.0,9,429.551104
-25.267273,12,438.085829
233.458359,14,447.989986
-106.41066,9,454.726997
-124.0,9,461.281041
-142.0,13,470.352
458.103821,31,491.266159
452.931129,31,513.437094
323.102081,31,534.254086
430.226906,31,555.153022
138.778519,31,575.896512
184.721016,31,596.522915
210.423447,31,617.108667
224.974236,31,637.800144
257.438408,27,655.929435
250.41198,30,675.913377
116.59201,17,687.713672
440.260132,31,708.50433
97.537964,13,717.655332
-23.924294,15,728.132975
68.003281,15,738.510385
400.918358,30,760.039491
229.876404,31,780.815926
210.469917,31,801.577215
377.075706,31,822.286735
472.496475,31,843.274151
347.312363,30,863.724993
185.166283,25,880.708588
288.700394,31,901.496592
96.663063,20,915.040303
371.696655,31,937.28981
346.171822,31,957.916988
350.199547,31,978.733271
559.252647,31,999.659802
87.108437,18,1012.113591
402.754326,31,1033.047778
298.447968,31,1053.838617
448.572334,31,1074.614081
434.269798,31,1095.492785
385.669365,31,1117.681887
292.783691,31,1138.539076
181.081825,27,1156.680059
426.32959,31,1177.653009
320.5187,27,1195.843921
555.447777,31,1216.841195
415.934586,31,1237.747459
319.585648,31,1258.650069
92.550232,21,1272.954633
75.668396,17,1286.239435
430.490494,31,1307.131414
193.326752,31,1327.864668
470.628189,31,1348.680229
442.279594,31,1369.520448
386.842491,31,1390.198092
200.399742,31,1411.100057
252.16861,25,1427.978138
335.131805,31,1448.869775
430.025803,31,1469.700876
304.61142,31,1490.419874
171.899933,18,1502.773984
268.670837,31,1523.536593
172.864983,28,1542.41085
114.576935,18,1554.927896
426.603333,31,1575.708221
425.86747,31,1598.066945
426.344345,31,1618.936954
-11.265099,9,1625.431015
250.878868,31,1646.380021
147.831749,31,1667.10997
159.980469,13,1676.240081
35.225098,31,1697.019073
437.697929,31,1717.994328
172.517151,24,1734.289382
125.175858,17,1746.186496
297.57093,26,1763.803941
396.462677,30,1783.960709
93.389236,31,1804.634839
413.522079,31,1826.895137
281.096443,31,1847.818043
213.208054,31,1868.556638
169.797676,23,1884.261256
222.774109,31,1905.028311
41.216522,31,1925.750098
324.881378,31,1946.478161
22.279327,31,1967.096611
177.58017,31,1987.957904
446.796318,31,2008.972357
-33.877251,31,2029.610451
214.920624,30,2051.033971
300.165588,31,2071.6457
-62.180702,8,2077.542688
-118.175781,31,2098.158402
456.680405,31,2119.095468
-7.409164,15,2129.451433
16.690948,31,2150.340898
113.640724,31,2171.118102
222.823181,31,2191.874448
342.125633,31,2214.175116
179.786453,31,2234.880233
65.042892,31,2255.719213
184.777962,31,2276.41463
-135.0,32,2298.204379
-117.830276,32,2319.883688
-132.0,32,2341.398134
-104.199898,32,2363.001271
-99.964378,31,2383.874381
-162.264076,21,2398.29434
-37.346428,17,2410.136845
-163.0,17,2421.834518
58.256271,13,2432.401877
-151.0,15,2442.80139
-151.0,15,2453.285014
-142.0,13,2462.478423
-136.0,12,2471.043453
-77.328125,15,2481.483828
-78.320709,15,2491.955719
-139.0,12,2500.509424
-115.225647,11,2508.39293
-67.773018,17,2520.180545
-109.159912,9,2526.706044
-85.257004,14,2536.394636
-26.397865,10,2543.581033
-52.669502,15,2554.007311
-93.976021,17,2565.841377
-142.0,13,2575.002198
45.545525,11,2582.820877
-125.57309,11,2590.663342
83.59697,19,2603.772609
170.799118,16,2615.144287
-151.0,15,2625.820253
4.84761,12,2635.673436
224.616859,20,2649.394938
-130.99688,12,2657.957701
98.31723,13,2667.19155
4.69442,12,2675.651906
112.847626,14,2685.453728
49.879517,12,2693.935095
-151.0,15,2704.426534
-142.0,13,2713.57168
-4.667229,12,2722.123543
117.596375,19,2735.100691
-113.28656,11,2743.019004
-16.624458,14,2752.815212
-124.0,9,2759.358359
144.083138,13,2768.522708
56.611946,13,2777.683079
82.56646,13,2786.900564
94.341377,11,2794.804983
221.79731,16,2806.014002
18.396492,14,2815.916182
-42.308426,14,2825.70862
-124.0,9,2832.334934
53.775772,7,2837.539659
118.917725,17,2849.353544
-151.0,15,2859.817923
-60.697029,8,2865.784295
-151.0,15,2876.177198
-121.195892,12,2886.067702
-136.0,11,2893.9289
137.553024,13,2903.07278
-80.696915,5,2907.038147
67.884277,14,2916.736226
-139.0,12,2925.220406
-28.214363,11,2933.139053
31.384926,16,2944.241354
-9.858986,11,2981.979649
14.615036,15,2992.547267
46.18615,13,3001.756828
166.213371,29,3021.130404
-63.28054,15,3031.652529
43.034073,12,3041.592253
92.761032,10,3048.849929
49.480293,13,3058.01827
-124.0,9,3064.614374
-110.818924,9,3071.207084
-110.243858,9,3077.84295
82.739243,14,3087.642661
-145.0,14,3097.455502
70.43676,12,3105.991334
-14.210991,12,3114.446301
-151.0,15,3124.707468
77.997383,15,3135.168327
52.135376,18,3147.665773
-94.760223,15,3158.203019
59.55999,12,3166.658051
-145.0,14,3176.4493
49.198341,14,3186.199726
-55.588486,13,3195.349299
-142.0,13,3204.539484
97.74279,12,3213.108792
123.203514,13,3222.304713
40.934532,13,3231.454034
-62.143814,14,3241.254231
9.179001,14,3251.059875
-124.0,9,3257.64028
85.506706,23,3273.327688
-110.515274,9,3279.929838
-62.171417,15,3290.484431
122.148056,14,3300.296762
-129.56012,13,3309.452514
-110.349907,9,3315.984999
175.743683,13,3358.32057
-27.220573,13,3445.320708
230.759148,15,3542.320458
237.678665,15,3637.320601
-1.131531,11,3706.319636
139.489677,19,3827.320703
-124.0,9,3889.321878
123.388199,14,3979.321673
39.71051,13,4063.321687
-10.843254,11,4135.321327
-133.0,11,4204.321018
-87.495964,14,4295.322671
-136.0,11,4368.31949
-66.074501,15,4464.320072
171.118347,21,4596.318331
267.394791,30,4784.318961
150.139107,15,4881.316768
-35.05983,15,4979.32136
-142.0,13,5062.318049
65.012764,15,5155.318459
22.294731,13,5238.32024
-136.0,11,5310.320401
-142.0,13,5397.317502
-23.371277,13,5481.320601
-135.786545,13,5570.318553
145.546974,15,5681.321903
1.448387,15,5781.321081
-151.0,15,5884.319229
19.584358,26,6064.317284
19.459976,19,6194.321134
118.887062,17,6319.317669
-139.0,12,6407.319291
-3.980141,13,6500.320315
-97.355576,13,6596.319092
-21.766884,13,6690.317427
-80.921715,19,6828.319822
13.678558,13,6919.319949
-7.253052,14,7024.319498
-9.572502,15,7134.319157
106.52005,19,7171.230419
107.837486,14,7181.154872
